,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
189,1,298.3,308.4,1539,43.4,69,0,0,0,0,0,0
190,0,298.2,308.4,1477,49.9,72,0,0,0,0,0,0
191,0,298.2,308.4,1666,34.6,74,0,0,0,0,0,0
192,2,298.2,308.4,1398,51.8,76,0,0,0,0,0,0
193,2,298.2,308.4,1678,34.6,81,0,0,0,0,0,0
195,0,298.3,308.5,1453,42.9,89,0,0,0,0,0,0
196,2,298.3,308.6,1432,49.5,91,0,0,0,0,0,0
197,1,298.4,308.6,1527,40.9,96,0,0,0,0,0,0
198,0,298.4,308.7,1588,35.0,99,0,0,0,0,0,0
199,0,298.4,308.6,1433,47.1,101,0,0,0,0,0,0
200,0,298.4,308.6,1609,35.0,103,0,0,0,0,0,0
201,0,298.3,308.5,1575,41.2,105,0,0,0,0,0,0
202,1,298.4,308.5,1636,35.7,107,0,0,0,0,0,0
203,0,298.4,308.5,1490,37.9,110,0,0,0,0,0,0
204,0,298.4,308.5,1741,32.8,112,0,0,0,0,0,0
205,1,298.5,308.6,1344,53.0,114,0,0,0,0,0,0
206,0,298.5,308.7,1609,35.3,117,0,0,0,0,0,0
207,1,298.4,308.7,1421,60.7,119,1,0,0,1,0,0
208,0,298.4,308.6,1591,36.7,122,0,0,0,0,0,0
209,0,298.4,308.6,1477,44.0,124,0,0,0,0,0,0
210,0,298.4,308.7,1523,36.1,126,0,0,0,0,0,0
211,0,298.5,308.7,1575,33.9,128,0,0,0,0,0,0
212,2,298.4,308.7,1344,52.9,130,0,0,0,0,0,0
213,0,298.4,308.7,1386,44.9,135,0,0,0,0,0,0
214,1,298.3,308.6,1589,37.1,137,0,0,0,0,0,0
215,0,298.3,308.6,1548,40.3,140,0,0,0,0,0,0
216,0,298.3,308.6,1499,38.3,142,0,0,0,0,0,0
217,0,298.3,308.5,1664,31.6,144,0,0,0,0,0,0
218,0,298.3,308.6,1447,38.1,146,0,0,0,0,0,0
219,1,298.3,308.5,1434,46.2,148,0,0,0,0,0,0
220,0,298.3,308.5,1416,52.7,151,0,0,0,0,0,0
221,2,298.4,308.5,1827,24.3,153,0,0,0,0,0,0
222,0,298.4,308.6,1304,45.0,158,0,0,0,0,0,0
223,0,298.4,308.6,1569,34.4,160,0,0,0,0,0,0
224,0,298.3,308.6,1584,29.3,162,0,0,0,0,0,0
225,0,298.3,308.5,1362,53.8,164,0,0,0,0,0,0
226,0,298.3,308.4,1329,49.2,166,0,0,0,0,0,0
227,0,298.3,308.5,1539,36.1,168,0,0,0,0,0,0
228,1,298.3,308.5,1629,37.1,170,0,0,0,0,0,0
229,0,298.3,308.5,1538,32.2,173,0,0,0,0,0,0
230,0,298.3,308.6,1570,34.8,175,0,0,0,0,0,0
231,0,298.3,308.4,1408,43.1,177,0,0,0,0,0,0
232,0,298.2,308.4,1424,47.6,179,0,0,0,0,0,0
233,0,298.2,308.4,1512,34.9,181,0,0,0,0,0,0
234,0,298.2,308.4,1478,42.9,183,0,0,0,0,0,0
235,1,298.1,308.3,1680,33.7,185,0,0,0,0,0,0
236,0,298.1,308.3,1495,38.7,188,0,0,0,0,0,0
237,1,298.0,308.1,1552,36.6,190,0,0,0,0,0,0
238,0,297.9,308.1,1393,50.3,193,0,0,0,0,0,0
239,0,298.0,308.2,1611,30.6,195,0,0,0,0,0,0
240,1,298.0,308.1,1339,51.6,197,0,0,0,0,0,0
241,0,298.0,308.1,1777,24.3,200,0,0,0,0,0,0
242,0,298.0,308.2,1348,58.8,202,1,0,0,0,1,0
243,0,298.0,308.2,1442,44.1,204,0,0,0,0,0,0
244,1,298.0,308.2,1395,49.1,206,0,0,0,0,0,0
245,1,297.9,308.1,1627,31.4,209,0,0,0,0,0,0
246,0,297.9,308.1,1585,33.5,212,0,0,0,0,0,0
247,0,298.0,308.2,1469,45.5,214,0,0,0,0,0,0
248,0,298.0,308.3,1362,56.8,216,1,0,0,0,1,0
249,0,298.0,308.3,1405,56.2,218,1,0,0,0,1,0
250,0,298.0,308.3,1662,32.7,0,0,0,0,0,0,0
251,1,298.0,308.2,1466,42.6,2,0,0,0,0,0,0
252,0,298.0,308.2,1620,35.8,5,0,0,0,0,0,0
253,0,298.0,308.2,1357,48.2,7,0,0,0,0,0,0
254,0,298.0,308.2,1514,37.9,9,0,0,0,0,0,0
255,0,298.0,308.2,1489,40.4,11,0,0,0,0,0,0
256,0,298.1,308.3,1331,63.0,13,0,0,0,0,0,0
257,0,298.0,308.0,1615,29.5,15,0,0,0,0,0,0
258,0,298.1,308.2,1482,37.9,17,0,0,0,0,0,0
259,1,298.1,308.2,1420,63.9,19,1,0,0,1,0,0
260,1,298.2,308.3,1522,49.1,22,0,0,0,0,0,0
261,0,298.1,308.2,1654,32.1,25,0,0,0,0,0,0
262,1,298.1,308.2,1736,26.8,27,0,0,0,0,0,0
263,1,298.0,308.1,1587,32.3,30,0,0,0,0,0,0
264,0,298.1,308.2,1390,47.5,33,0,0,0,0,0,0
265,0,298.0,308.1,1454,37.1,35,0,0,0,0,0,0
266,2,298.0,308.1,1440,43.7,37,0,0,0,0,0,0
268,2,297.9,308.0,1800,24.8,44,0,0,0,0,0,0
269,0,298.0,308.0,1524,37.0,49,0,0,0,0,0,0
270,2,298.0,308.0,1520,39.6,51,0,0,0,0,0,0
271,1,298.1,308.1,1452,40.8,56,0,0,0,0,0,0
272,0,298.1,308.1,1484,40.4,59,0,0,0,0,0,0
273,0,298.1,308.0,1426,46.0,61,0,0,0,0,0,0
274,0,298.1,308.0,1652,28.5,63,0,0,0,0,0,0
275,0,298.0,308.0,1401,54.7,65,0,0,0,0,0,0
276,1,298.0,307.9,1750,26.6,67,0,0,0,0,0,0
277,2,298.0,308.0,1479,50.7,70,0,0,0,0,0,0
278,1,298.0,308.0,1620,29.4,75,0,0,0,0,0,0
279,0,298.0,308.1,1819,23.4,78,0,0,0,0,0,0
280,1,298.1,308.1,1456,43.7,80,0,0,0,0,0,0
281,0,298.1,308.0,1626,36.5,83,0,0,0,0,0,0
282,1,298.1,308.1,1390,49.8,85,0,0,0,0,0,0
283,0,298.2,308.2,1469,43.0,88,0,0,0,0,0,0
285,0,298.2,308.3,1568,36.0,92,0,0,0,0,0,0
286,0,298.2,308.3,1589,33.2,94,0,0,0,0,0,0
287,0,298.2,308.3,1805,31.6,96,0,0,0,0,0,0
288,2,298.2,308.4,1385,42.2,98,0,0,0,0,0,0
289,0,298.1,308.4,1436,46.7,103,0,0,0,0,0,0
290,0,298.1,308.4,1438,45.6,105,0,0,0,0,0,0
291,0,298.0,308.3,1473,42.6,107,0,0,0,0,0,0
292,0,298.1,308.4,1335,40.2,109,0,0,0,0,0,0
293,2,298.1,308.5,1392,44.8,111,0,0,0,0,0,0
294,1,298.1,308.5,1372,51.1,116,0,0,0,0,0,0
295,1,298.1,308.6,1716,30.7,119,0,0,0,0,0,0
296,0,298.0,308.5,1395,46.2,122,0,0,0,0,0,0
297,0,298.0,308.5,1713,25.3,124,0,0,0,0,0,0
299,1,297.8,308.3,1567,35.6,131,0,0,0,0,0,0
300,0,297.8,308.4,1622,38.3,134,0,0,0,0,0,0
301,0,297.7,308.4,1740,27.1,136,0,0,0,0,0,0
302,2,297.8,308.4,1512,35.1,138,0,0,0,0,0,0
303,1,297.8,308.4,1479,43.5,143,0,0,0,0,0,0
304,0,297.8,308.4,1737,27.5,146,0,0,0,0,0,0
306,0,297.8,308.4,1374,47.1,150,0,0,0,0,0,0
307,1,297.8,308.4,1579,36.6,152,0,0,0,0,0,0
308,0,297.9,308.5,1305,47.2,155,0,0,0,0,0,0
309,1,297.9,308.5,1449,40.8,157,0,0,0,0,0,0
310,2,298.0,308.6,1526,41.8,160,0,0,0,0,0,0
311,1,298.0,308.6,1453,44.1,165,0,0,0,0,0,0
312,0,297.9,308.6,1468,36.0,168,0,0,0,0,0,0
313,0,298.0,308.6,1313,50.8,170,0,0,0,0,0,0
314,1,297.9,308.5,1300,53.0,172,0,0,0,0,0,0
315,0,297.9,308.4,1646,40.6,175,0,0,0,0,0,0
316,0,297.8,308.4,1714,33.2,177,0,0,0,0,0,0
317,0,297.8,308.4,1685,28.4,179,0,0,0,0,0,0
318,0,297.8,308.4,1512,39.9,181,0,0,0,0,0,0
319,0,297.8,308.4,1612,32.1,183,0,0,0,0,0,0
320,2,297.8,308.4,1550,38.2,185,0,0,0,0,0,0
321,0,297.8,308.4,1518,32.5,190,0,0,0,0,0,0
322,0,297.8,308.5,1448,40.0,192,0,0,0,0,0,0
323,0,297.8,308.5,1561,46.3,194,0,0,0,0,0,0
324,1,297.8,308.5,1488,41.9,196,0,0,0,0,0,0
325,0,297.8,308.5,1699,27.8,199,0,0,0,0,0,0
326,0,297.7,308.5,1501,41.4,201,0,0,0,0,0,0
327,0,297.7,308.5,1373,56.7,203,1,0,0,0,1,0
328,2,297.6,308.4,1703,31.4,205,0,0,0,0,0,0
329,2,297.7,308.5,1720,29.9,210,0,0,0,0,0,0
330,1,297.6,308.4,1398,41.9,215,0,0,0,0,0,0
331,1,297.6,308.4,1391,51.9,218,0,0,0,0,0,0
332,1,297.6,308.3,1538,40.2,0,0,0,0,0,0,0
333,0,297.5,308.2,1647,31.3,3,0,0,0,0,0,0
334,1,297.5,308.1,1469,44.8,5,0,0,0,0,0,0
335,0,297.4,308.1,1749,25.9,8,0,0,0,0,0,0
337,0,297.6,308.3,1742,27.7,13,0,0,0,0,0,0
338,0,297.5,308.2,1563,38.2,15,0,0,0,0,0,0
339,1,297.5,308.2,1713,32.2,17,0,0,0,0,0,0
340,0,297.4,308.1,1474,39.4,20,0,0,0,0,0,0
341,1,297.4,308.2,1530,32.6,22,0,0,0,0,0,0
342,0,297.4,308.2,1471,46.5,25,0,0,0,0,0,0
343,0,297.5,308.3,1388,48.6,27,0,0,0,0,0,0
345,0,297.5,308.3,1585,32.9,32,0,0,0,0,0,0
346,1,297.5,308.3,1459,45.2,34,0,0,0,0,0,0
347,0,297.5,308.3,1544,40.8,37,0,0,0,0,0,0
348,0,297.6,308.3,1617,31.7,39,0,0,0,0,0,0
349,0,297.6,308.3,1595,34.3,41,0,0,0,0,0,0
350,2,297.6,308.3,1400,44.3,43,0,0,0,0,0,0
351,1,297.6,308.4,1611,31.0,48,0,0,0,0,0,0
352,1,297.6,308.4,1507,46.0,51,0,0,0,0,0,0
353,2,297.5,308.3,1674,30.0,54,0,0,0,0,0,0
354,0,297.6,308.3,1658,34.3,59,0,0,0,0,0,0
355,0,297.6,308.3,1623,36.9,61,0,0,0,0,0,0
356,1,297.6,308.4,1398,48.9,63,0,0,0,0,0,0
357,0,297.6,308.4,1517,34.2,66,0,0,0,0,0,0
358,1,297.6,308.3,1467,36.7,68,0,0,0,0,0,0
359,1,297.6,308.3,1567,34.6,71,0,0,0,0,0,0
360,1,297.5,308.3,1521,38.2,74,0,0,0,0,0,0
361,0,297.5,308.3,1596,36.8,77,0,0,0,0,0,0
362,2,297.6,308.3,1640,30.9,79,0,0,0,0,0,0
363,0,297.6,308.3,1438,47.8,84,0,0,0,0,0,0
364,0,297.6,308.4,1407,55.2,86,0,0,0,0,0,0
365,0,297.6,308.4,1353,57.5,88,0,0,0,0,0,0
366,1,297.6,308.5,1552,40.9,90,0,0,0,0,0,0
367,1,297.6,308.4,1569,38.3,93,0,0,0,0,0,0
368,0,297.5,308.4,1489,39.5,96,0,0,0,0,0,0
369,2,297.5,308.4,1587,36.1,98,0,0,0,0,0,0
370,1,297.5,308.3,1622,37.2,103,0,0,0,0,0,0
371,0,297.5,308.4,1604,38.1,106,0,0,0,0,0,0
372,1,297.4,308.3,1405,51.7,108,0,0,0,0,0,0
373,0,297.4,308.3,1412,42.0,111,0,0,0,0,0,0
374,0,297.4,308.3,1431,43.0,113,0,0,0,0,0,0
375,0,297.4,308.2,1533,37.4,115,0,0,0,0,0,0
376,1,297.4,308.2,1401,51.9,117,0,0,0,0,0,0
377,1,297.4,308.2,1424,53.9,120,0,0,0,0,0,0
378,0,297.3,308.2,1754,29.4,123,0,0,0,0,0,0
379,0,297.3,308.2,1754,26.8,125,0,0,0,0,0,0
381,0,297.5,308.5,1546,40.4,129,0,0,0,0,0,0
382,0,297.5,308.5,1335,48.0,131,0,0,0,0,0,0
383,1,297.5,308.6,1842,27.0,133,0,0,0,0,0,0
384,0,297.5,308.5,1712,26.8,136,0,0,0,0,0,0
385,1,297.6,308.6,1414,45.4,138,0,0,0,0,0,0
386,0,297.6,308.7,1319,50.9,141,0,0,0,0,0,0
387,0,297.7,308.7,1249,60.4,143,0,0,0,0,0,0
388,0,297.6,308.7,1455,48.2,145,0,0,0,0,0,0
389,1,297.6,308.7,1408,54.8,147,0,0,0,0,0,0
390,0,297.6,308.7,1460,46.7,150,0,0,0,0,0,0
391,0,297.6,308.6,1491,38.1,152,0,0,0,0,0,0
392,1,297.6,308.5,1490,43.4,154,0,0,0,0,0,0
393,1,297.5,308.4,1350,52.2,157,0,0,0,0,0,0
394,0,297.5,308.4,1528,39.9,160,0,0,0,0,0,0
395,0,297.4,308.3,1571,37.7,162,0,0,0,0,0,0
396,0,297.4,308.3,1490,42.6,164,0,0,0,0,0,0
397,1,297.4,308.3,1774,28.9,166,0,0,0,0,0,0
398,2,297.4,308.3,1502,43.6,169,0,0,0,0,0,0
399,0,297.4,308.4,1392,49.7,174,0,0,0,0,0,0
401,0,297.5,308.5,1722,30.4,178,0,0,0,0,0,0
402,0,297.4,308.6,1678,32.3,180,0,0,0,0,0,0
403,0,297.3,308.6,1273,59.8,182,0,0,0,0,0,0
404,0,297.3,308.6,1297,45.9,184,0,0,0,0,0,0
405,0,297.3,308.5,1350,57.6,186,0,0,0,0,0,0
406,0,297.4,308.6,1439,51.9,188,0,0,0,0,0,0
407,1,297.4,308.5,1600,42.1,190,0,0,0,0,0,0
408,1,297.4,308.6,1434,44.4,193,0,0,0,0,0,0
409,0,297.4,308.6,1459,41.3,196,0,0,0,0,0,0
410,1,297.5,308.6,1472,44.9,198,0,0,0,0,0,0
411,0,297.5,308.7,1429,44.3,201,0,0,0,0,0,0
412,0,297.5,308.6,1388,48.2,203,0,0,0,0,0,0
413,0,297.4,308.4,1573,34.5,205,0,0,0,0,0,0
414,0,297.4,308.4,1588,32.5,207,0,0,0,0,0,0
415,0,297.5,308.4,1511,42.8,209,0,0,0,0,0,0
416,0,297.4,308.5,1495,37.8,211,0,0,0,0,0,0
417,0,297.4,308.4,1394,50.1,213,0,0,0,0,0,0
419,1,297.3,308.3,1501,38.2,2,0,0,0,0,0,0
420,1,297.3,308.3,1301,39.6,5,0,0,0,0,0,0
421,1,297.3,308.3,1657,31.1,8,0,0,0,0,0,0
422,0,297.3,308.3,1333,55.2,11,0,0,0,0,0,0
423,0,297.3,308.3,1484,43.9,13,0,0,0,0,0,0
424,0,297.3,308.4,1430,45.7,15,0,0,0,0,0,0
425,1,297.3,308.4,1665,28.9,17,0,0,0,0,0,0
426,0,297.4,308.5,1501,44.9,20,0,0,0,0,0,0
427,1,297.5,308.5,1496,42.2,22,0,0,0,0,0,0
428,1,297.6,308.6,1595,36.9,25,0,0,0,0,0,0
429,0,297.5,308.6,1208,62.3,28,0,0,0,0,0,0
430,0,297.5,308.6,1596,37.1,30,0,0,0,0,0,0
431,0,297.5,308.5,1446,41.9,32,0,0,0,0,0,0
432,1,297.6,308.5,1466,39.7,34,0,0,0,0,0,0
433,1,297.6,308.5,1848,23.7,37,0,0,0,0,0,0
434,1,297.5,308.5,1484,44.7,40,0,0,0,0,0,0
435,0,297.4,308.3,1493,41.2,43,0,0,0,0,0,0
